,0,1,2,3,4,5,6,7,8,9,10
2007,2318.3672563745217,2092.48297447271,1969.4655761911788,1886.5356591807847,1817.4719139130955,1763.0434492281215,1718.3543295199897,1679.792002695528,1647.7177368317816,1617.2593164169652,1587.1738812174988
2008,9846.268713731319,6075.464462134987,4223.886998459697,3099.059990670532,2424.900789439678,1992.1797184199095,1688.5473654866219,1481.823859486729,1312.0108475461602,1197.3322900496423,1097.127177529037
2009,5980.009717788547,3047.771318681538,1937.98323944211,1380.899998769164,1076.3609688840806,909.3956173695624,795.5697094835341,703.8482540175319,641.5700142495334,591.5511771254241,550.9777027405798
2010,6779.071830976754,3593.1906200163066,2287.523687813431,1630.391670666635,1259.669546097517,1036.5201393291354,907.8774894326925,818.3816861100495,752.4447197280824,697.0926446281374,659.767566204071
2015,2388.1681861147285,1657.552811203152,1332.344140535593,1153.0457639843225,1049.1790381148458,987.4038886018097,941.9425543129444,908.1427049174905,884.721685090661,864.3885096110404,848.6693893380464
2016,7346.684121310711,3761.5616950280964,2347.8712238296866,1655.3202382959425,1285.9317851737142,1056.2197203710675,928.0206786394119,837.809637915343,773.3761591017246,722.5414622053504,682.8960478268564
2017,7391.214163526893,4063.897885199636,2795.078586202115,2196.0148609168828,1904.109718926251,1740.1703092232347,1643.7430426254869,1578.5106727816164,1521.062984701246,1476.7009061910212,1438.1267192475498
2018,6763.687289774418,3832.9334849603474,2572.480824816972,1874.1243406571448,1451.3152895234525,1208.2159095332026,1040.5889180414379,934.9467931911349,859.2922309264541,805.9282700940967,761.1349391117692
2019,7886.518484860659,4766.86775938049,3351.810921996832,2535.0708565078676,2026.136933773756,1698.988702878356,1485.3271309286356,1329.7824613638222,1225.9345848448575,1155.974762313068,1093.0645976699889
2020,11242.651253454387,8038.718744471669,6422.481105256826,5397.58710873127,4694.174878895283,4152.756707947701,3748.100276350975,3427.5028656311333,3166.6733316369355,2958.682349588722,2787.9934360831976
