overall accuracy,0.986
cohen kappa,0.9490122953207855
""
Confidence Interval,90%,95%,98%,99%
Overall Accuracy,0.008617103736174936,0.01029848983103834,0.01224259250322415,0.013556175389836183
""
class,f1-score,precision,recall,support
Mangroves,0.9570552147239264,0.9873417721518988,0.9285714285714286,84
Not Mangroves,0.9928229665071772,0.9880952380952381,0.9975961538461539,416
Not Mangroves > Mangroves,0.0,0.0,0.0,0
""
macro avg,0.6499593937437012,0.6584790034157123,0.6420558608058609,500
weighted (pixel) avg,0.9868139842075909,0.9879686558167571,0.986,500
""
Confidence Interval,90%,95%,98%,99%
Mangroves,0.02062768602924925,0.024652600376419836,0.02930640759033583,0.032450871924062846
Not Mangroves,0.008679185346992059,0.01037268492689295,0.012330793816153355,0.013653840362950925
Not Mangroves > Mangroves,0.0,0.0,0.0,0.0
""
Point Count Confusion Matrix
,Mangroves,Not Mangroves,Not Mangroves > Mangroves,User Acc
Mangroves,78,5,1,92.85714285714286
Not Mangroves,1,415,0,99.75961538461539
Not Mangroves > Mangroves,0,0,0,nan
Producer,98.73417721518987,98.80952380952381,0.0
""
