overall accuracy,0.9773333333333334
cohen kappa,0.9330950994128111
""
Confidence Interval,90%,95%,98%,99%
Overall Accuracy,0.008913092239737783,0.01065223218895491,0.012663112755237215,0.014021815840563098
""
class,f1-score,precision,recall,support
Mangroves,0.95,0.9440993788819876,0.9559748427672956,159
Mangroves > Not Mangroves,0.0,0.0,0.0,1
Not Mangroves,0.9872557349192863,0.989778534923339,0.9847457627118644,590
""
macro avg,0.6457519116397621,0.6446259712684422,0.6469068684930533,750
weighted (pixel) avg,0.978041178136505,0.9787748491293414,0.9773333333333334,750
""
Confidence Interval,90%,95%,98%,99%
Mangroves,0.0296925900802496,0.035486266193469035,0.04218520419937901,0.046711513662831695
Mangroves > Not Mangroves,0.0,0.0,0.0,0.0
Not Mangroves,0.0068084834726149695,0.008136968052637403,0.009673028348288343,0.010710906926430869
""
Point Count Confusion Matrix
,Mangroves,Mangroves > Not Mangroves,Not Mangroves,User Acc
Mangroves,152,1,6,95.59748427672956
Mangroves > Not Mangroves,1,0,0,0.0
Not Mangroves,8,1,581,98.47457627118644
Producer,94.40993788819875,0.0,98.9778534923339
""
