overall accuracy,0.979
cohen kappa,0.9291493194960829
""
Confidence Interval,90%,95%,98%,99%
Overall Accuracy,0.007436093490536549,0.008887038561860754,0.010564693800579367,0.0116982446375514
""
class,f1-score,precision,recall,support
Mangroves,0.9441340782122905,0.9285714285714286,0.9602272727272727,176
Mangroves > Not Mangroves,0.0,0.0,0.0,1
Not Mangroves,0.9884075655887736,0.9926470588235294,0.9842041312272175,823
""
macro avg,0.6441805479336881,0.640406162464986,0.6481438013181634,1000
weighted (pixel) avg,0.9796270242449238,0.9803771008403362,0.979,1000
""
Confidence Interval,90%,95%,98%,99%
Mangroves,0.031307745481169706,0.0374165738677394,0.04447990668971062,0.0492524288667182
Mangroves > Not Mangroves,0.0,0.0,0.0,0.0
Not Mangroves,0.004904861454355636,0.005861907591790882,0.006968492188200386,0.007716184483071672
""
Point Count Confusion Matrix
,Mangroves,Mangroves > Not Mangroves,Not Mangroves,User Acc
Mangroves,169,1,6,96.02272727272727
Mangroves > Not Mangroves,1,0,0,0.0
Not Mangroves,12,1,810,98.42041312272175
Producer,92.85714285714286,0.0,99.26470588235294
""
