overall accuracy,0.9793333333333333
cohen kappa,0.9157805512842108
""
Confidence Interval,90%,95%,98%,99%
Overall Accuracy,0.006024190602463945,0.007199642427334959,0.008558758599842068,0.009477080338022548
""
class,f1-score,precision,recall,support
Mangroves,0.9295774647887325,0.9209302325581395,0.9383886255924171,211
Mangroves > Not Mangroves,0.0,0.0,0.0,1
Not Mangroves,0.9887203422792687,0.990646921278254,0.9868012422360248,1288
""
macro avg,0.6394326023560004,0.6371923846121312,0.641729955942814,1500
weighted (pixel) avg,0.9797417639507471,0.9801796757841057,0.9793333333333333,1500
""
Confidence Interval,90%,95%,98%,99%
Mangroves,0.030181666364153672,0.03607077199618366,0.04288005038321833,0.04748091415824176
Mangroves > Not Mangroves,0.0,0.0,0.0,0.0
Not Mangroves,0.004407245690592191,0.005267196069244326,0.0062615136945608565,0.006933349927882837
""
Point Count Confusion Matrix
,Mangroves,Mangroves > Not Mangroves,Not Mangroves,User Acc
Mangroves,198,1,12,93.8388625592417
Mangroves > Not Mangroves,1,0,0,0.0
Not Mangroves,16,1,1271,98.68012422360249
Producer,92.09302325581396,0.0,99.06469212782541
""
