overall accuracy,0.9816
cohen kappa,0.9288801153750059
""
Confidence Interval,90%,95%,98%,99%
Overall Accuracy,0.0062339745924410005,0.007450359878770952,0.00885680536608996,0.009807106371035233
""
class,f1-score,precision,recall,support
Mangroves,0.9417989417989419,0.9319371727748691,0.9518716577540107,187
Mangroves > Not Mangroves,0.0,0.0,0.0,1
Not Mangroves,0.9900896649362907,0.9924314096499527,0.987758945386064,1062
""
macro avg,0.6439628689117441,0.6414561941416073,0.6465435343800249,1250
weighted (pixel) avg,0.9820733010229942,0.9825875266857201,0.9816,1250
""
Confidence Interval,90%,95%,98%,99%
Mangroves,0.029886528667272257,0.03571804645600831,0.042460738899234365,0.04701661217168441
Mangroves > Not Mangroves,0.0,0.0,0.0,0.0
Not Mangroves,0.004371838443317761,0.0052248800907943975,0.006211209495689259,0.006877648282780382
""
Point Count Confusion Matrix
,Mangroves,Mangroves > Not Mangroves,Not Mangroves,User Acc
Mangroves,178,1,8,95.18716577540107
Mangroves > Not Mangroves,1,0,0,0.0
Not Mangroves,12,1,1049,98.7758945386064
Producer,93.19371727748691,0.0,99.24314096499526
""
