overall accuracy,0.952
cohen kappa,0.8110355253212396
""
Confidence Interval,90%,95%,98%,99%
Overall Accuracy,0.022172411830921786,0.02649873609061384,0.031501048515882785,0.0348809893437672
""
class,f1-score,precision,recall,support
Mangroves,0.8333333333333334,0.967741935483871,0.7317073170731707,41
Mangroves > Not Mangroves,0.0,0.0,0.0,0
Not Mangroves,0.976525821596244,0.9585253456221198,0.9952153110047847,209
""
macro avg,0.6032863849765259,0.6420890937019968,0.5756408760259851,250
weighted (pixel) avg,0.9530422535211267,0.960036866359447,0.952,250
""
Confidence Interval,90%,95%,98%,99%
Mangroves,0.05204295342027495,0.06219767603886519,0.07393907406661016,0.08187245111238377
Mangroves > Not Mangroves,0.0,0.0,0.0,0.0
Not Mangroves,0.022197658692758467,0.026528909169394266,0.03153691753300441,0.03492070696787613
""
Point Count Confusion Matrix
,Mangroves,Mangroves > Not Mangroves,Not Mangroves,User Acc
Mangroves,30,2,9,73.17073170731707
Mangroves > Not Mangroves,0,0,0,nan
Not Mangroves,1,0,208,99.52153110047847
Producer,96.7741935483871,0.0,95.85253456221197
""
